Namespace(barcodes='/Users/akim/Desktop/uST_barcodes_trim.tsv', directory='', dont_build_reference=True, fiveprimemismatches=1, ignore_no_match=False, ignore_space_warning=False, inputfastq='/Users/akim/Desktop/4000.fq.gz', outputprefix='local2', sbatchcompression=False, threads=2, trim_sequences=None, ultra=False)
Demultiplexing...
Demultiplexing complete! 1000 reads processed in 46.0 seconds
         144059 function calls (140604 primitive calls) in 48.213 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      215    0.001    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
     1423    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.001    0.001    0.001    0.001 decorators.py:15(<module>)
        1    0.000    0.000    1.475    1.475 __init__.py:106(<module>)
      449    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
    63/49    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
      456    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       97    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      925    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {built-in method posix.close}
        4    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
      357    0.000    0.000    0.000    0.000 functools.py:74(wraps)
       94    0.000    0.000    0.001    0.000 typing.py:852(_next_in_mro)
      654    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
        7    0.000    0.000    0.000    0.000 {built-in method posix.write}
        1    0.000    0.000    0.013    0.013 __init__.py:234(_sanity_check)
      749    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       26    0.000    0.000    0.001    0.000 typing.py:613(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
       41    0.000    0.000    0.010    0.000 sre_parse.py:844(parse)
      223    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      124    0.000    0.000    0.001    0.000 typing.py:354(_type_check)
      267    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      654    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
    41/40    0.000    0.000    0.280    0.007 <frozen importlib._bootstrap_external>:919(create_module)
      133    0.000    0.000    0.001    0.000 enum.py:353(__setattr__)
      327    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      616    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
     1118    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       21    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        1    0.000    0.000    0.005    0.005 tempfile.py:190(_get_default_tempdir)
      495    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      163    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      623    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.039    0.039 numeric.py:1(<module>)
       41    0.000    0.000    0.002    0.000 sre_compile.py:482(_compile_info)
      572    0.000    0.000    0.001    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        3    0.000    0.000    0.001    0.000 process.py:71(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
       48    0.000    0.000    0.000    0.000 typing.py:896(_no_slots_copy)
       80    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
        7    0.000    0.000    0.001    0.000 enum.py:625(<listcomp>)
      836    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.004    0.004 six.py:21(<module>)
  152/139    0.000    0.000    0.014    0.000 typing.py:676(inner)
        2    0.000    0.000    0.013    0.007 subprocess.py:608(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        8    0.000    0.000    0.001    0.000 enum.py:160(<setcomp>)
       52    0.000    0.000    0.001    0.000 core.py:895(__init__)
        6    0.000    0.000    0.000    0.000 util.py:151(__init__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
        1    0.000    0.000    0.010    0.010 __main__.py:690(start_workers)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        3    0.000    0.000    0.000    0.000 __init__.py:251(__init__)
        2    0.000    0.000    0.254    0.127 __init__.py:7(<module>)
        1    0.000    0.000    0.017    0.017 typing.py:1(<module>)
        1    0.000    0.000   48.215   48.215 __main__.py:1(<module>)
